Project;Type;Dates;Status;Experience Match
Grameen America;UX Design;2024;Done;Endava
Seeds;UX Design;2020;Done;A Piece of Pie
Core Card;UX Design;2022;Done;Endava
Developer Portal;UX Design;2021;Done;Endava
Escola Santo Inácio;Branding;2011;Done;Design Emocional
30 Bienal;Visual Identity;2012;Done;
Humboldt y Las Américas;Visual Identity;2019;Done;Goeth Institut
Clarice no IMS;Visual identity;2013;Done;Master
Nido de Todos;Interaction Design;2018;Done;Master
Parebolas pa' que Entienda;Interaction Design;2018;Done;Master
Caderno Sesc Videobrasil;Editorial Design;2013;Done;Celso longo
Centro de Biotecnologia 30 anos;Editorial Design;2013;Done;
El Primer Día de Clase;Publication;2019;Done;Master
Laboratorio de Creación;Publication;2017;Done;Master
Una San Andrés sostenible;Publication;2019;Done;Mnaster
A Escrita;Editorial Design;2010;Done;FAAP
Processo Criativo;Editorial Design;2012;Done;FAAP
Cria;Poster Design;2010;Done;FAAP
Natura Aquarela;Packaging Design;2011;Done;
Cartaz Aberto;Poster Design;2013;Placeholder;
Brasília 54 Years;Poster Design;2014;Placeholder;
Umbrella Chair;Industrial Design;2018;Placeholder;Master
Poppla;Industrial Design;2017;Placeholder;Master
UX Course;Teaching;2022;Placeholder;Uniandes
Lenguajes Course;Teaching;2024;Placeholder;Uniandes
Folha de S. Paulo;Illustration;2025;Placeholder;Folha
El Malpensante;Illustration;2017;Placeholder;
Gaceta CIC;Illustration;2017;Placeholder;
BloomPomPom;Branding;2025;Placeholder;
Dibujo en el Transmilenio;Illustration;2016;Placeholder;
MCB;Poster Design;2015;Placeholder;
Contém 1g;Advertising;2013;Done;Contém1g
GoDaddy Services;UX Design;2025;Placeholder;GoDaddy
GoDaddy One-Click Experience;UX Design;2025;Placeholder;GoDaddy
GoDaddy Services Agent;UX Design;2025;Placeholder;GoDaddy
Publicaciones Urgentes;Editorial Design;2019;Placeholder;
Mapping the City;Illustration;2017;No page yet;Masters
